LOTE ,CAPACIDADE ,MARCA,DESCRIÇÃO,VALOR,VALOR INICIAL
50,?,Coppi,Filtro de mangas de alta pressão 24/120/2600,"R$ 29.730,00","R$ 2.500,00"
51," 6,5 ton/h ", Sangati,Turbo Peneira + Imã  para segurança de farinha de trigo / milho,"R$ 34.590,00","R$ 3.500,00"
52,?, Nagema (GMB ),02 x Bancos de cilindros 4x1000 x250 mm,"Valor: R$44.500,00 Valor para 02 Máquinas R$ 80.000,00","R$ 9.500,00"
53,?, rokop ( Rep. Tcheca ,"03 x Bancos de cilindros 4x1000/250 mm , Semi Automático","Valor: R$ 69.900,00 / máquina Valor para 03 Máquinas R$ 195.000,00","R$ 12.000,00"
54,?,Sangati GBS Itália B1/B2 – R1 / R2 ,01 Banco de cilindros Duplo  8 x 1250 x 250  mm Mod. Synthesis,"R$ 199.250,00","R$ 30.000,00"
55,?,Buhler,03 x Bancos de cilindros 4 x1000 x 250 mm,"Valor: R$ 49.500,00/máquina Valor para 03 Máquinas R$ 120.000,00","R$ 15.000,00"
56,?, SIMON  ( England ),08 x Bancos de cilindros Simon 4 x 1000 x 250 mmParte Interna revestida em Inox – Semi Automáticos,"Valor: R$ 59.900,00 / máquina  Valor para 08 máquinas R$ 440.000,00","R$ 36.000,00"
57,25 ton/h ,Buhler ( Suiça ),Unidade Controladora de Umidade de Trigo Modelo MYFC e Dosador Automático MOZF ,"R$ 297.890,00","R$ 8.000,00"
58,250 sacos/hora,Lonigo,"Ensacadora  para sacos de 50 kg , Completa com Moegas de Alimentação , Esteiras ","R$ 129.800,00","R$ 20.000,00"
59,?,Buhler-Miag,"06 x Desagregadores Centrífugos 7,5 cv","R$ 14.900,00  / máquina Valor para 06 Máquinas R$ 80.000,00","R$ 6.000,00"
60,?,Buhler -Miag,08 x Destacadores  a tambor Completo com Motor ,"Valor: R$ 14.900,00 / máquina  Valor para 08 Máquinas R$ 100.000,00","R$ 12.000,00"
61,?,Sangati S.A.,"04 x Desagregadores Centrífugos Motor 7,5 cv ","Valor: R$ 17.900,00 / máquina Valor para 04 máquinas R$ 60.000,00","R$ 6.000,00"
62,?,Sangati S.A.,"10 x Desagregadores a tambor , Completos com Motor ","Valor: R$ 16.700,00 /máquina  Valor para 10 Máquinas R$ 140.000,00","R$ 15.000,00"
63,?,Pingle (China ) R1/R1B / C2/C3,02 x Bancos de cilindros Ping Le Automáticos  4x 1000 x250 mm ,"Valor: R$ 92.400,00 / máquina Valor para 02 Máquinas R$ 175.000,00","R$ 60.000,00"
64,?,Ocrim ( Itália ) ,01 Banco de cilindros Ocrim Automático  4x 1000 x250 mm ,"R$ 109.900,00","R$ 30.000,00"
65,B1 ( 200 ton/dia ),Ocrim (Itália ),Banco de cilindros Ocrim  Mod. Lam CS 4x1000x250 mm Automático,"R$ 149.900,00","R$ 22.000,00"
66,C1 ( 200 ton/dia ),Sangati,01 x Banco de cilindros Sangati Mod. Auto/ROE 4x1000x250 mm Automático – Retrofit Completo,"R$ 195.000,00","R$ 32.000,00"
67,28 peneiras / porta,Buhler,01 x Plansifter  MPAG 6/28 Alto Rendimento – RetroFit Completo,"R$ 298.000,00","R$ 16.000,00"
68,33600 m³/h,Coppi,Ventilador  de baixa pressão Completo com Motor  ,"R$ 49.800,00","R$ 3.500,00"
69,500 kg/h,500 kg/h,Filtro de mangas  65/150 mm /2500 mm ,"R$ 79.800,00","R$ 4.000,00"
